woiku	ͷοῖκυ	ͷοῖκυ	Pamphylian form of οἶκος (oîkos)	0
aien	αἰέν	αἰέν	Epic and Tragic form of ἀεί (aeí)	0
aigagrou	αἰγάγρου	αἴγαγρος	a wild goat	0
aigi	αἰγί	αἴξ	goat (especially a she-goat)	0
aigida	αἰγίδα	αἰγίς	the aegis	1
aigidion	αἰγίδιον	αἴξ	goat (especially a she-goat)	0
aigilops	αἰγίλωψ	αἰγίλωψ	haver-grass (Aegilops neglecta)	1
aigis	αἰγίς	αἰγίς	the aegis	1
aigialos	αἰγιαλός	αἰγιαλός	beach	0
aigoin	αἰγοῖν	αἴξ	goat (especially a she-goat)	0
aigoiin	αἰγοῖϊν	αἴξ	goat (especially a she-goat)	0
aigupios	αἰγυπιός	αἰγυπιός	vulture	0
aigolios	αἰγωλιός	αἰγωλιός	small kind of owl	0
aigos	αἰγός	αἴξ	goat (especially a she-goat)	0
aigon	αἰγῶν	αἴξ	goat (especially a she-goat)	0
aideomai	αἰδέομαι	αἰδέομαι	to be ashamed	0
aidiles	αἰδίλης	αἰδίλης	aedile (an official in Ancient Rome)	0
aidoi	αἰδοί	αἰδώς	shame	0
aidoie	αἰδοίη	αἰδοῖος	modest, bashful	0
aidoia	αἰδοῖα	αἰδοῖος	modest, bashful	0
aidoion	αἰδοῖον	αἰδοῖον	the genitals	0
aidoios	αἰδοῖος	αἰδοῖος	modest, bashful	0
aidous	αἰδοῦς	αἰδώς	shame	0
aidos	αἰδώς	αἰδώς	shame	0
aido	αἰδῶ	αἰδώς	shame	0
aiei	αἰεί	ἀεί	always	0
aizeos	αἰζηός	αἰζηός	vigorous (physically strong and active)	0
aizeon	αἰζηῶν	αἰζηός	vigorous (physically strong and active)	0
aithera	αἰθέρα	αἰθήρ	sky	0
aithere	αἰθέρε	αἰθήρ	sky	0
aitheri	αἰθέρι	αἰθήρ	sky	0
aitheros	αἰθέρος	αἰθήρ	sky	0
aither	αἰθήρ	αἰθήρ	sky	0
aithouse	αἰθούσῃ	αἴθουσα	portico, veranda	0
aikia	αἰκία	αἰκία	insult	0
aikizo	αἰκίζω	αἰκίζω	to maltreat, mistreat, injure, plague, torment	0
ailourou	αἰλούρου	αἴλουρος	cat	1
ailouro	αἰλούρω	αἴλουρος	cat	1
ailouron	αἰλούρων	αἴλουρος	cat	1
aina	αἰνά	αἰνός	horrible, dread, dreadful	0
aineo	αἰνέω	αἰνέω	to tell of	0
ainen	αἰνήν	αἰνός	horrible, dread, dreadful	0
ainetos	αἰνετός	αἰνετός	praiseworthy	0
ainon	αἰνόν	αἰνός	horrible, dread, dreadful	0
ainos	αἰνός	αἰνός	horrible, dread, dreadful	0
aines	αἰνῆς	αἰνός	horrible, dread, dreadful	0
aine	αἰνῇ	αἰνός	horrible, dread, dreadful	0
ainos	αἰνῶς	αἰνῶς	horribly, dreadfully	0
aixi	αἰξί	αἴξ	goat (especially a she-goat)	0
aixin	αἰξίν	αἴξ	goat (especially a she-goat)	0
aipen	αἰπήν	αἰπός	on a slope	0
aipeinos	αἰπεινός	αἰπεινός	high, steep	0
aipolia	αἰπόλια	αἰπόλιον	herd of goats	0
aipolion	αἰπόλιον	αἰπόλιον	herd of goats	0
aipolos	αἰπόλος	αἰπόλος	goatherd	0
aipos	αἰπός	αἰπός	on a slope	0
aipus	αἰπύς	αἰπύς	steep	0
aisalon	αἰσάλων	αἰσάλων	kind of hawk mentioned by Aristotle, perhaps the Bonelli's e	0
aiskhion	αἰσχίων	αἰσχρός	causing shame	0
aiskhoin	αἰσχοῖν	αἶσχος	shame	0
aiskhra	αἰσχρά	αἰσχρός	causing shame	0
aiskhran	αἰσχράν	αἰσχρός	causing shame	0
aiskhras	αἰσχράς	αἰσχρός	causing shame	0
aiskhre	αἰσχρέ	αἰσχρός	causing shame	0
aiskhrai	αἰσχραί	αἰσχρός	causing shame	0
aiskhroi	αἰσχροί	αἰσχρός	causing shame	0
aiskhrou	αἰσχροῦ	αἰσχρός	causing shame	0
aiskhron	αἰσχρόν	αἰσχρός	causing shame	0
aiskhros	αἰσχρός	αἰσχρός	causing shame	0
aiskhro	αἰσχρώ	αἰσχρός	causing shame	0
aiskhres	αἰσχρῆς	αἰσχρός	causing shame	0
aiskhros	αἰσχρῶς	αἰσχρῶς	shamefully, basely	0
aiskhoo	αἰσχόω	αἰσχόω	to make shameful, disgrace, dishonor	0
aiskhune	αἰσχύνη	αἰσχύνη	shame, disgrace	0
aiskhuno	αἰσχύνω	αἰσχύνω	to make ugly	0
aiskhon	αἰσχῶν	αἶσχος	shame	0
aiteo	αἰτέω	αἰτέω	to ask for, crave, demand, beg [with accusative ‘something’	0
aitia	αἰτία	αἰτία	charge, accusation, imputation, blame, guilt, fault	0
aitizo	αἰτίζω	αἰτίζω	to beg (for), importune	0
aitizon	αἰτίζων	αἰτίζω	to beg (for), importune	0
aitetos	αἰτητός	αἰτητός	asked for, requested	0
aikhma	αἰχμά	αἰχμή	point of a spear	0
aikhmazo	αἰχμάζω	αἰχμάζω	to throw or hurl a spear	0
aikhmas	αἰχμάς	αἰχμή	point of a spear	0
aikhme	αἰχμή	αἰχμή	point of a spear	0
aikhmen	αἰχμήν	αἰχμή	point of a spear	0
aikhmai	αἰχμαί	αἰχμή	point of a spear	0
aikhmain	αἰχμαῖν	αἰχμή	point of a spear	0
aikhmais	αἰχμαῖς	αἰχμή	point of a spear	0
aikhmes	αἰχμῆς	αἰχμή	point of a spear	0
aikhmon	αἰχμῶν	αἰχμή	point of a spear	0
aiolos	αἰόλος	αἰόλος	quick, nimble, swift	0
aion	αἰών	αἰών	lifetime	1
aionessi	αἰώνεσσι	αἰών	lifetime	1
aionios	αἰώνιος	αἰώνιος	age-long	0
aionon	αἰώνων	αἰών	lifetime	1
aiora	αἰώρα	αἰώρα	swing	0
aio	αἰῶ	αἰών	lifetime	1
aiona	αἰῶνα	αἰών	lifetime	1
aionas	αἰῶνας	αἰών	lifetime	1
aiones	αἰῶνες	αἰών	lifetime	1
aioni	αἰῶνι	αἰών	lifetime	1
aionos	αἰῶνος	αἰών	lifetime	1
aiosi	αἰῶσι	αἰών	lifetime	1
aiosin	αἰῶσιν	αἰών	lifetime	1
hai	αἱ	ὁ	the	0
aimasia	αἱμασιά	αἱμασιά	wall of dry stones	0
airesia	αἱρέσια	αἱρέσια	dues paid on discharge of cargoes	0
aireo	αἱρέω	αἱρέω	to take, grasp, seize	0
airesei	αἱρήσει	αἱρέω	to take, grasp, seize	0
aireseis	αἱρήσεις	αἱρέω	to take, grasp, seize	0
airesete	αἱρήσετε	αἱρέω	to take, grasp, seize	0
aireso	αἱρήσω	αἱρέω	to take, grasp, seize	0
airetizo	αἱρετίζω	αἱρετίζω	to choose, select	0
airetos	αἱρετός	αἱρετός	that may be taken or conquered	0
airei	αἱρεῖ	αἱρέω	to take, grasp, seize	0
aireis	αἱρεῖς	αἱρέω	to take, grasp, seize	0
aireite	αἱρεῖτε	αἱρέω	to take, grasp, seize	0
airoumen	αἱροῦμεν	αἱρέω	to take, grasp, seize	0
airo	αἱρῶ	αἱρέω	to take, grasp, seize	0
aigagros	αἴγαγρος	αἴγαγρος	a wild goat	0
aigeiros	αἴγειρος	αἴγειρος	black poplar (Populus nigra)	0
aigesi	αἴγεσι	αἴξ	goat (especially a she-goat)	0
aigesin	αἴγεσιν	αἴξ	goat (especially a she-goat)	0
aigessi	αἴγεσσι	αἴξ	goat (especially a she-goat)	0
aigessin	αἴγεσσιν	αἴξ	goat (especially a she-goat)	0
aigithos	αἴγιθος	αἴγιθος	common linnet (Linaria cannabina)	0
aigilos	αἴγιλος	αἰγίλωψ	haver-grass (Aegilops neglecta)	1
aiginos	αἴγινος	αἴγινος	of goat	0
aigle	αἴγλη	αἴγλη	light of the sun or moon	0
aideo	αἴδεο	αἴδομαι	Homeric form of αἰδέομαι (aidéomai)	0
aideto	αἴδετο	αἰδέομαι	to be ashamed	0
aidomai	αἴδομαι	αἴδομαι	Homeric form of αἰδέομαι (aidéomai)	0
aithalos	αἴθαλος	αἴθαλος	smoky flame and thick black smoke rising up from the sacked	0
aithe	αἴθε	εἴθε	if only (signifies a wish)	0
aithinos	αἴθινος	αἴθινος	blackish	0
aithopa	αἴθοπα	αἶθοψ	bright, sparkling, gleaming (especially of copper and iron	0
aithopi	αἴθοπι	αἶθοψ	bright, sparkling, gleaming (especially of copper and iron	0
aithopos	αἴθοπος	αἶθοψ	bright, sparkling, gleaming (especially of copper and iron	0
aithousa	αἴθουσα	αἴθουσα	portico, veranda	0
aithra	αἴθρα	αἴθρα	clear sky	0
aithrios	αἴθριος	αἴθριος	clear, bright, fair (of weather)	0
aithuia	αἴθυια	αἴθυια	a diving bird, perhaps the shearwater	0
aitho	αἴθω	αἴθω	to ignite, kindle, light	0
aithon	αἴθων	αἴθων	an instance of burning, blazing, lightning	0
aithona	αἴθωνα	αἴθων	an instance of burning, blazing, lightning	0
aithonas	αἴθωνας	αἴθων	an instance of burning, blazing, lightning	0
ailoure	αἴλουρε	αἴλουρος	cat	1
ailouroi	αἴλουροι	αἴλουρος	cat	1
ailouros	αἴλουρος	αἴλουρος	cat	1
ainesis	αἴνεσις	αἴνεσις	praise	0
ainigma	αἴνιγμα	αἴνιγμα	riddle	1
ainumai	αἴνυμαι	αἴνυμαι	to take, take off, take hold of	0
ainuto	αἴνυτο	αἴνυμαι	to take, take off, take hold of	0
aix	αἴξ	αἴξ	goat (especially a she-goat)	0
airinos	αἴρινος	αἴρινος	of darnel	0
airo	αἴρω	ἀείρω	to lift up, raise, support	0
aisakos	αἴσακος	αἴσακος	A branch of myrtle or laurel	0
aisimos	αἴσιμος	αἴσιμος	destined	0
aisula	αἴσυλα	αἴσυλος	unseemly, evil, impious	0
aisulos	αἴσυλος	αἴσυλος	unseemly, evil, impious	0
aiskhea	αἴσχεα	αἶσχος	shame	0
aiskhei	αἴσχει	αἶσχος	shame	0
aiskhesi	αἴσχεσι	αἶσχος	shame	0
aiskhe	αἴσχη	αἶσχος	shame	0
aiskhous	αἴσχους	αἶσχος	shame	0
aitema	αἴτημα	αἴτημα	request, demand	0
aitesis	αἴτησις	αἴτησις	a request, demand	0
aitioi	αἴτιοι	αἴτιος	causing, being the author of, responsible for	0
aitios	αἴτιος	αἴτιος	causing, being the author of, responsible for	0
hai	αἵ	ὅ	who	0
aide	αἵδε	ὅδε	this	0
airesis	αἵρεσις	αἵρεσις	taking, receiving	0
aiga	αἶγα	αἴξ	goat (especially a she-goat)	0
aigas	αἶγας	αἴξ	goat (especially a she-goat)	0
aige	αἶγε	αἴξ	goat (especially a she-goat)	0
aiges	αἶγες	αἶγες	waves	0
aithos	αἶθος	αἶθος	heat, fire	0
aithops	αἶθοψ	αἶθοψ	bright, sparkling, gleaming (especially of copper and iron	0
aithros	αἶθρος	αἶθρος	the clear chill air (of morning)	0
aiklon	αἶκλον	αἶκλον	evening meal at Sparta	0
ainos	αἶνος	αἶνος	tale	0
aira	αἶρα	αἶρα	ryegrass, darnel (Lolium temulentum)	0
aisa	αἶσα	αἶσα	destiny, fate	0
aiskhos	αἶσχος	αἶσχος	shame	0
aipsa	αἶψα	αἶψα	quickly, all of a sudden	0
aima	αἷμα	αἷμα	blood	1
ain	αἷν	ὅς	this	0
ais	αἷς	ὅς	this	0
aisper	αἷσπερ	ὅσπερ	the very man who, the very thing which	0
aiin	αἷϊν	ὅς	this	0
augas	αὐγάς	αὐγή	light of the sun, sunlight	0
auge	αὐγή	αὐγή	light of the sun, sunlight	0
audas	αὐδάς	αὐδή	human voice	0
audao	αὐδάω	αὐδάω	to speak	0
aude	αὐδή	αὐδή	human voice	0
audeeis	αὐδήεις	αὐδήεις	speaking with a human voice	0
audeessa	αὐδήεσσα	αὐδήεις	speaking with a human voice	0
auden	αὐδήν	αὐδή	human voice	0
audesas	αὐδήσας	αὐδάω	to speak	0
audeso	αὐδήσω	αὐδάω	to speak	0
audan	αὐδᾶν	αὐδάω	to speak	0
auda	αὐδᾷ	αὐδάω	to speak	0
audo	αὐδῶ	αὐδάω	to speak	0
audomai	αὐδῶμαι	αὐδάω	to speak	0
audon	αὐδῶν	αὐδάω	to speak	0
auetes	αὐετές	αὐετές	in the same year	0
auetesi	αὐετέσι	αὐετής	of the same year	0
auetesin	αὐετέσιν	αὐετής	of the same year	0
auetes	αὐετής	αὐετής	of the same year	0
auetei	αὐετεῖ	αὐετής	of the same year	0
aueteis	αὐετεῖς	αὐετής	of the same year	0
auetoin	αὐετοῖν	αὐετής	of the same year	0
auetous	αὐετοῦς	αὐετής	of the same year	0
auete	αὐετῆ	αὐετής	of the same year	0
aueton	αὐετῶν	αὐετής	of the same year	0
aule	αὐλέ	αὐλός	any pipe-shaped instrument	0
auleo	αὐλέω	αὐλέω	to play on the flute	0
aule	αὐλή	αὐλή	open court, courtyard	0
aulen	αὐλήν	αὐλή	open court, courtyard	0
aulaia	αὐλαία	αὐλαία	curtain, especially in the theatre	0
aulein	αὐλεῖν	αὐλέω	to play on the flute	0
auleta	αὐλητά	αὐλητής	a flute-player, flautist	1
auletas	αὐλητάς	αὐλητής	a flute-player, flautist	1
auleten	αὐλητήν	αὐλητής	a flute-player, flautist	1
auletes	αὐλητής	αὐλητής	a flute-player, flautist	1
auletai	αὐληταί	αὐλητής	a flute-player, flautist	1
auletain	αὐληταῖν	αὐλητής	a flute-player, flautist	1
auletais	αὐληταῖς	αὐλητής	a flute-player, flautist	1
auletou	αὐλητοῦ	αὐλητής	a flute-player, flautist	1
auletris	αὐλητρίς	αὐλητρίς	A flute-girl in ancient Greece, whose services may also have	1
aulete	αὐλητῇ	αὐλητής	a flute-player, flautist	1
auleton	αὐλητῶν	αὐλητής	a flute-player, flautist	1
aulikos	αὐλικός	αὐλικός	of the court, courtier-like	0
auloi	αὐλοί	αὐλός	any pipe-shaped instrument	0
aulous	αὐλούς	αὐλός	any pipe-shaped instrument	0
auloin	αὐλοῖν	αὐλός	any pipe-shaped instrument	0
aulois	αὐλοῖς	αὐλός	any pipe-shaped instrument	0
aulou	αὐλοῦ	αὐλός	any pipe-shaped instrument	0
aulopias	αὐλωπίας	αὐλωπίας	unknown kind of fish, perhaps	0
aulon	αὐλόν	αὐλός	any pipe-shaped instrument	0
aulos	αὐλός	αὐλός	any pipe-shaped instrument	0
aulo	αὐλώ	αὐλός	any pipe-shaped instrument	0
aules	αὐλῆς	αὐλή	open court, courtyard	0
aulodos	αὐλῳδός	αὐλῳδός	one who sings to the flute	0
auxano	αὐξάνω	αὐξάνω	to make grow, increase	0
austeros	αὐστηρός	αὐστηρός	astringent, lending to a dry mouthfeel (usually translated a	0
auta	αὐτά	αὐτός	self	0
autar	αὐτάρ	αὐτάρ	but, however, besides, moreover	0
autarke	αὐτάρκη	αὐτάρκης	self-sufficient (able to provide for oneself independently o	1
autarkes	αὐτάρκης	αὐτάρκης	self-sufficient (able to provide for oneself independently o	1
autas	αὐτάς	αὐτός	self	0
autaon	αὐτάων	αὐτός	self	0
aute	αὐτέ	αὐτός	self	0
auteain	αὐτέαιν	αὐτός	self	0
auteen	αὐτέην	αὐτός	self	0
autees	αὐτέης	αὐτός	self	0
auteoin	αὐτέοιν	αὐτός	self	0
auteois	αὐτέοις	αὐτός	self	0
auteoisi	αὐτέοισι	αὐτός	self	0
auteou	αὐτέου	αὐτός	self	0
auteous	αὐτέους	αὐτός	self	0
auteon	αὐτέων	αὐτός	self	0
autee	αὐτέῃ	αὐτός	self	0
auteesi	αὐτέῃσι	αὐτός	self	0
auteesin	αὐτέῃσιν	αὐτός	self	0
auteo	αὐτέῳ	αὐτός	self	0
auten	αὐτήν	αὐτός	self	0
autika	αὐτίκα	αὐτίκα	at once	0
autai	αὐταί	αὐτός	self	0
autain	αὐταῖν	αὐτός	self	0
autais	αὐταῖς	αὐτός	self	0
autaiin	αὐταῖϊν	αὐτός	self	0
autoi	αὐτοί	αὐτός	self	0
autonomo	αὐτονόμῳ	αὐτόνομος	subject only to one's own laws, independent (of people and s	1
autopsia	αὐτοψία	αὐτοψία	seeing with one's own eyes	0
autous	αὐτούς	αὐτός	self	0
autoin	αὐτοῖν	αὐτός	self	0
autoio	αὐτοῖο	αὐτός	self	0
autois	αὐτοῖς	αὐτός	self	0
autoisi	αὐτοῖσι	αὐτός	self	0
autoisin	αὐτοῖσιν	αὐτός	self	0
autoiin	αὐτοῖϊν	αὐτός	self	0
autou	αὐτοῦ	αὐτοῦ	here, there	0
auto	αὐτό	αὐτός	self	0
autothen	αὐτόθεν	αὐτόθεν	from that very place	0
autothi	αὐτόθι	αὐτόθι	on the spot	0
auton	αὐτόν	αὐτός	self	0
autoptes	αὐτόπτης	αὐτόπτης	eyewitness	0
autos	αὐτός	αὐτός	self	0
autose	αὐτόσε	αὐτόσε	thither, to the very place	0
autes	αὐτῆς	αὐτός	self	0
autesi	αὐτῇσι	αὐτός	self	0
autesin	αὐτῇσιν	αὐτός	self	0
autein	αὐτῇϊν	αὐτός	self	0
aukhena	αὐχένα	αὐχήν	neck	0
aukhenas	αὐχένας	αὐχήν	neck	0
aukhenes	αὐχένες	αὐχήν	neck	0
aukheni	αὐχένι	αὐχήν	neck	0
aukhenos	αὐχένος	αὐχήν	neck	0
aukhenon	αὐχένων	αὐχήν	neck	0
aukhesi	αὐχέσι	αὐχήν	neck	0
aukhesin	αὐχέσιν	αὐχήν	neck	0
aukhen	αὐχήν	αὐχήν	neck	0
aukhmoi	αὐχμοί	αὐχμός	drought, dearth	0
aukhmos	αὐχμός	αὐχμός	drought, dearth	0
autou	αὑτοῦ	ἑαυτοῦ	himself	0
autos	αὑτός	αὑτός	the same	0
augour	αὔγουρ	αὔγουρ	augur (Roman diviner)	0
aulion	αὔλιον	αὔλιον	cottage	0
aulios	αὔλιος	αὔλιος	belonging to the sheepfold	0
auxesin	αὔξησιν	αὔξησις	growth, increase	1
auxesis	αὔξησις	αὔξησις	growth, increase	1
auximos	αὔξιμος	αὔξιμος	promoting or supporting growth	0
auxo	αὔξω	αὐξάνω	to make grow, increase	0
aura	αὔρα	αὔρα	cool air in motion, breeze, fresh air of the morning	0
aurion	αὔριον	αὔριον	tomorrow	0
auspix	αὔσπιξ	αὔσπιξ	auspex	0
autos	αὔτως	αὔτως	just so	0
auo	αὔω	αὔω	to shout, call	0
auos	αὔως	ἠώς	The morning red, daybreak, dawn	0
aute	αὕτη	οὗτος	this	0
auo	αὕω	αὕω	to dry	0
aue	αὖε	αὔω	to shout, call	0
authi	αὖθι	αὐτόθι	on the spot	0
authis	αὖθις	αὖθις	back, back again	0
aulax	αὖλαξ	αὖλαξ	furrow	0
aulis	αὖλις	αὖλις	tent or place for passing the night in, bivouac	0
auos	αὖος	αὖος	dry (of timber), dried (of fruit), withered (of leaves)	0
aute	αὖτε	αὖτε	again	0
autis	αὖτις	αὖτις	back (to a previous place)	0
autai	αὗται	οὗτος	this	0
babax	βάβαξ	βάβαξ	chatterer	1
baden	βάδην	βάδην	step-by-step	0
badios	βάδιος	βάδιος	child	0
badisma	βάδισμα	βάδισμα	A walk, a gait	0
bazo	βάζω	βάζω	to speak	0
bathos	βάθος	βάθος	extension in space	0
bathron	βάθρον	βάθρον	that on which anything steps or stands	0
bakelos	βάκηλος	βάκηλος	gallus, one of the priests of Cybele in Phrygia that typical	0
bakkaris	βάκκαρις	βάκκαρις	wild spikenard (Asarum europaeum)	0
baktron	βάκτρον	βάκτρον	staff, stick, cudgel	0
balagros	βάλαγρος	βάλαγρος	sort of freshwater fish, perhaps a kind of carp	0
balanos	βάλανος	βάλανος	acorn	1
balaris	βάλαρις	βάλαρις	rose campion (Silene coronaria, syn	0
balate	βάλατε	βάλλω	to throw, cast, hurl	0
bale	βάλε	βάλλω	to throw, cast, hurl	0
balen	βάλεν	βάλλω	to throw, cast, hurl	0
balete	βάλετε	βάλλω	to throw, cast, hurl	0
baleto	βάλετο	βάλλω	to throw, cast, hurl	0
balleo	βάλλεο	βάλλω	to throw, cast, hurl	0
ballis	βάλλις	βάλλις	a plant with wonderful medicinal properties	0
ballon	βάλλον	βάλλω	to throw, cast, hurl	0
ballo	βάλλω	βάλλω	to throw, cast, hurl	0
baloi	βάλοι	βάλλω	to throw, cast, hurl	0
balon	βάλον	βάλλω	to throw, cast, hurl	0
balsamon	βάλσαμον	βάλσαμον	Arabian balsam tree (Commiphora gileadensis)	0
balo	βάλω	βάλλω	to throw, cast, hurl	0
bambax	βάμβαξ	βάμβαξ	cotton	0
bamen	βάμεν	βαίνω	to go	0
ban	βάν	βαίνω	to go	0
banausos	βάναυσος	βάναυσος	artisanal, handmade, handcrafted	0
baptisma	βάπτισμα	βάπτισμα	baptism	0
bapto	βάπτω	βάπτω	to dip	0
barakos	βάρακος	βάρακος	kind of freshwater fish, perhaps similar to a perch	0
barbaron	βάρβαρον	βάρβαρος	non-Greek-speaking	1
barbaros	βάρβαρος	βάρβαρος	non-Greek-speaking	1
barbiton	βάρβιτον	βάρβιτος	barbitos (stringed musical instrument)	1
barbitos	βάρβιτος	βάρβιτος	barbitos (stringed musical instrument)	1
barema	βάρημα	βάρημα	A burden, a load	0
baris	βᾶρις	βᾶρις	baris (a type of flat-bottomed freighter used on the Nile in	1
baros	βάρος	βάρος	weight	1
baruka	βάρυκα	βάρυκα	genitals (in Taranto)	0
bas	βάς	βαίνω	to go	0
basan	βάσαν	βαίνω	to go	0
basanos	βάσανος	βάσανος	gold touchstone (stone which is rubbed on gold to ascertain	0
basis	βάσις	βάσις	stepping, step	0
baskanos	βάσκανος	βάσκανος	slanderous, envious, malignant, malicious	0
baskein	βάσκειν	βάσκειν	λέγειν, κακολογεῖν, καὶ ἀνίστασθαι (légein, kakologeîn, kaì	0
basko	βάσκω	βάσκω	to come	0
bastagma	βάσταγμα	βάσταγμα	A load	0
batalos	βάταλος	βάταλος	anus	0
baten	βάτην	βαίνω	to go	0
batos	βάτος	βάτος	blackberry (Rubus ulmifolius)	1
bebaia	βέβαια	βέβαιος	firm, steady	0
bebaiai	βέβαιαι	βέβαιος	firm, steady	0
bebaioi	βέβαιοι	βέβαιος	firm, steady	0
bebaion	βέβαιον	βέβαιος	firm, steady	0
bebaios	βέβαιος	βέβαιος	firm, steady	0
bebeka	βέβηκα	βαίνω	to go	0
bebelos	βέβηλος	βέβηλος	allowed to be gone through	0
bebleka	βέβληκα	βάλλω	to throw, cast, hurl	0
bebletai	βέβληται	βάλλω	to throw, cast, hurl	0
bekos	βέκος	βέκος	bread	0
belei	βέλει	βέλος	missile, arrow, dart	0
belekkos	βέλεκκος	βέλεκκος	kind of pulse	0
belemnon	βέλεμνον	βέλεμνον	dart, javelin	1
belesi	βέλεσι	βέλος	missile, arrow, dart	0
belesin	βέλεσιν	βέλος	missile, arrow, dart	0
belos	βέλος	βέλος	missile, arrow, dart	0
bembix	βέμβιξ	βέμβιξ	spinning top	0
benthos	βένθος	βένθος	depth	0
bergai	βέργαι	βέργαι	virgae, twigs, sticks	0
beredos	βέρεδος	βέρεδος	veredus, posthorse	0
bemen	βήμεν	βαίνω	to go	0
bemenai	βήμεναι	βαίνω	to go	0
bex	βήξ	βήξ	cough	0
berex	βήρηξ	βήρηξ	kind of loaf or cake made of barley	0
berullos	βήρυλλος	βήρυλλος	beryl	1
beseis	βήσεις	βαίνω	to go	0
besetai	βήσεται	βαίνω	to go	0
beseto	βήσετο	βαίνω	to go	0
besomai	βήσομαι	βαίνω	to go	0
besomen	βήσομεν	βαίνω	to go	0
besontai	βήσονται	βαίνω	to go	0
bessalon	βήσσαλον	βήσσαλον	brick	0
besso	βήσσω	βήσσω	to cough	0
besses	βήσσῃς	βήσσω	to cough	0
beso	βήσω	βαίνω	to go	0
bese	βήσῃ	βαίνω	to go	0
beten	βήτην	βαίνω	to go	0
betto	βήττω	βήσσω	to cough	0
bekhion	βήχιον	βήχιον	coltsfoot (Tussilago farfara)	0
bia	βία	βία	bodily strength	0
biaios	βίαιος	βίαιος	forcible, violent	0
billos	βίλλος	βίλλος	pudendum virile, the genitals of a man	0
bios	βίος	βίος	life (often with a positive connotation	1
biotos	βίοτος	βίοτος	life	0
birros	βίρρος	βίρρος	type of cloak or mantle	0
bisbe	βίσβη	βίσβη	pruning hook, billhook	0
bia	βίᾳ	βίᾳ	forcefully	0
baiessa	βαίεσσα	βαίεσσα	bunch of grapes	0
baie	βαίη	βαίνω	to go	0
baiemen	βαίημεν	βαίνω	to go	0
baien	βαίην	βαίνω	to go	0
baies	βαίης	βαίνω	to go	0
baiete	βαίητε	βαίνω	to go	0
bainei	βαίνει	βαίνω	to go	0
bainein	βαίνειν	βαίνω	to go	0
baineis	βαίνεις	βαίνω	to go	0
bainetai	βαίνεται	βαίνω	to go	0
baineton	βαίνετον	βαίνω	to go	0
bainoi	βαίνοι	βαίνω	to go	0
bainoien	βαίνοιεν	βαίνω	to go	0
bainoimi	βαίνοιμι	βαίνω	to go	0
bainois	βαίνοις	βαίνω	to go	0
bainoite	βαίνοιτε	βαίνω	to go	0
bainomai	βαίνομαι	βαίνω	to go	0
bainomen	βαίνομεν	βαίνω	to go	0
bainousi	βαίνουσι	βαίνω	to go	0
baino	βαίνω	βαίνω	to go	0
bainon	βαίνων	βαίνω	to go	0
bainosi	βαίνωσι	βαίνω	to go	0
bainosin	βαίνωσιν	βαίνω	to go	0
baine	βαίνῃ	βαίνω	to go	0
baines	βαίνῃς	βαίνω	to go	0
baite	βαίτη	βαίτη	coat of skins worn by shepherds or peasants	0
baitulos	βαίτυλος	βαίτυλος	baetyl (a meteorite or similar-looking rough stone thought t	1
babai	βαβαί	βαβαί	wow! (an expression of surprise or amazement)	0
baggelio	βαγγέλιο	βαγγέλιο	apheretic form of εὐαγγέλιον (euangélion, “gospel”)	0
badizo	βαδίζω	βαδίζω	to go, to go about	0
bathea	βαθέα	βαθύς	being a large vertical distance from	1
batheon	βαθέων	βαθύς	being a large vertical distance from	1
batheias	βαθείας	βαθύς	being a large vertical distance from	1
batheion	βαθειῶν	βαθύς	being a large vertical distance from	1
batheian	βαθεῖαν	βαθύς	being a large vertical distance from	1
bathme	βαθμέ	βαθμός	step	0
bathmis	βαθμίς	βαθμίς	step or threshold	0
bathmoi	βαθμοί	βαθμός	step	0
bathmous	βαθμούς	βαθμός	step	0
bathmos	βαθμός	βαθμός	step	0
bathun	βαθύν	βαθύς	being a large vertical distance from	1
bathuno	βαθύνω	βαθύνω	to deepen, hollow out, dig	0
bathus	βαθύς	βαθύς	being a large vertical distance from	1
baineto	βαινέτω	βαίνω	to go	0
baios	βαιός	βαιός	little, small	0
bakteria	βακτηρία	βακτηρία	rod, staff, cane	0
bakkheia	βακχεία	βακχεία	Bacchic frenzy, revelry	0
balaneus	βαλανεύς	βαλανεύς	bathman	0
balbis	βαλβίς	βαλβίς	rope drawn across the racecourse signalling the starting and	0
balios	βαλιός	βαλιός	spotted, dappled, mottled	0
ballen	βαλλήν	βαλλήν	king	0
ballizo	βαλλίζω	βαλλίζω	to dance, jump about	0
ballote	βαλλωτή	βαλλωτή	black horehound (Ballota nigra)	0
bambaino	βαμβαίνω	βαμβαίνω	to chatter with the teeth, stammer	0
baptizo	βαπτίζω	βαπτίζω	to dip, plunge	0
barakine	βαρακίνη	βαρακίνη	thistle	0
barbara	βαρβάρα	βαρβάρα	a certain kind of plaster	0
barbarou	βαρβάρου	βάρβαρος	non-Greek-speaking	1
barbitou	βαρβίτου	βάρβιτος	barbitos (stringed musical instrument)	1
barden	βαρδῆν	βαρδῆν	to coerce, rape women	0
bareia	βαρεῖα	βαρεῖα	baria (the grave accent, indicating low or normal pitch)	1
baruno	βαρύνω	βαρύνω	to weigh down, oppress, depress	0
barus	βαρύς	βαρύς	heavy	0
barutes	βαρύτης	βαρύτης	weight, heaviness	1
